Location,Site,Reef Type ,Management,Current,Depth range,Transect,Genus ,Co-ccurrance,Count
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Porites,WS,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Porites,WS,7
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Acropora,"B, P",1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Diploastrea,WS,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Fungia,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Pocillopora,B,2
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Pocillopora,"B, P",1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Pocillopora,P,3
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Polyphyllia,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,B,4
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,B,2
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,P,2
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,P,6
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,"WS, P",1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,WS,9
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,3,Porites,WS,13
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Acropora,B,4
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Acropora,B,5
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Acropora,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Acropora,"P, other diseases",1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Acropora,WS,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Acropora,WS,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Favites,B,5
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Galaxea,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Leptoria,B,3
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Leptoria,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Montipora,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Montipora,B,3
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Montipora,"WS, other diseases",1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Pocillopora,B,3
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Porites,B,5
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Porites,P,7
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Porites,WS,2
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Porites,WS,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,1,Stylophora,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Diploastrea,WS,2
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Favites,B,3
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Galaxea,"WS, E",1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Leptastrea,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Leptoseris,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Montipora,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Montipora,WS,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Montipora,WS,2
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Pavona,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Pocillopora,B,8
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Porites,"B, P",1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Porites,B,2
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Porites,P,6
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Porites,P,6
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Porites,WS,5
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,2,Porites,WS,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Acropora,B,2
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Acropora,WS,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Favites,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Pocillopora,B,1
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Porites,P,2
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Porites,P,5
Leleuvia ,LUSOH1,Diffused fringing ,Tabu,Low,Shallow,3,Porites,WS,2
Leleuvia ,LUSOH2,Diffused fringing ,Tabu,High,Shallow,1,Acropora,B,1
Leleuvia ,LUSOH2,Diffused fringing ,Tabu,High,Shallow,1,Acropora,B,1
Leleuvia ,LUSOH2,Diffused fringing ,Tabu,High,Shallow,1,Acropora,B,1
Leleuvia ,LUSOH2,Diffused fringing ,Tabu,High,Shallow,1,Acropora,"P, other diseases",1
Leleuvia ,LUSOH2,Diffused fringing ,Tabu,High,Shallow,1,Acropora,WS,3
