Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Echinophyllia,1,F,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spots on surface,FB
NanuyaLailai,,,NLDF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Echinopora,1,F,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,2,"GA, PD",Growth Anomalies ,,,Partly dead with GA,GA
NanuyaLailai,,,NLDF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,"P, GA, PD",Growth Anomalies ,Predation,,Partly dead with GA and potential COTs feeding,P
NanuyaLailai,,,NLDF2,1,Pavona,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,D,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Echinophyllia,1,F,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches,FB
NanuyaLailai,,,NLDF2,1,Favites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Favites,1,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches,B
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,1,"UWSD, E, PD",Ulcerative White Spot Disease,Eroded,,"Partly dead with white spots, signs of organism burrowing",UWS
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,1,"P, PD",,Predation,,Partly dead with white spots on surface,P
NanuyaLailai,,,NLDF2,1,Fungia,1,S,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,5,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,P,,Predation,,Partly dead with white spots(fish feeding marks),P
NanuyaLailai,,,NLDF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,1,"FB, PD",,Focal Bleaching ,,Partly dead with white spot ,FB
NanuyaLailai,,,NLDF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Diploastrea,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Fungia,1,S,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pavona,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Millepora,3,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Favites,1,E,1,"B, PD",,Bleaching ,,Partly dead with almost whole colony bleached,B
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"P, PD",,Predation,,Partly dead with fish feeding marks ,P
NanuyaLailai,,,NLDF2,1,Pocillopora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,D,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,4,B,3,PD,,,,,PD
